zip code,long,lat
10008,-73.977182,40.780751
10015,-73.977182,40.780751
10041,-74.01009,40.703041999999996
10045,-74.008687,40.70859
10048,-74.01227,40.712086
10055,-73.977182,40.780751
10060,-73.977182,40.780751
10090,-73.977182,40.780751
10095,-73.988421,40.748181
10104,-73.979908,40.760943
10105,-73.978534,40.762808
10106,-73.980438,40.765243
10107,-73.982728,40.766429
10118,-73.986467,40.748998
10120,-73.989426,40.750629
10121,-73.991889,40.74964
10122,-73.992171,40.751757
10123,-73.990537,40.751489
10151,-73.973971,40.763419
10155,-73.968036,40.761104
10158,-73.9758,40.749435
10161,-73.977182,40.780751
10166,-73.976238,40.754591
10175,-73.979782,40.754305
10176,-73.978877,40.75557
10178,-73.978507,40.751378
10270,-74.008154,40.706925
10281,-74.014958,40.714643
10043,-73.977182,40.780751
10080,-73.977182,40.780751
10081,-73.977182,40.780751
10087,-73.977182,40.780751
10101,-73.977182,40.780751
10102,-73.977182,40.780751
10108,-73.977182,40.780751
10109,-73.977182,40.780751
10113,-73.977182,40.780751
10114,-73.977182,40.780751
10116,-73.977182,40.780751
10117,-73.977182,40.780751
10124,-73.977182,40.780751
10125,-73.977182,40.780751
10126,-73.977182,40.780751
10129,-73.977182,40.780751
10130,-73.977182,40.780751
10131,-73.977182,40.780751
10132,-73.977182,40.780751
10133,-73.977182,40.780751
10138,-73.977182,40.780751
10150,-73.977182,40.780751
10156,-73.977182,40.780751
10157,-73.977182,40.780751
10159,-73.977182,40.780751
10160,-73.977182,40.780751
10163,-73.977182,40.780751
10164,-73.977182,40.780751
10179,-73.977182,40.780751
10185,-73.977182,40.780751
10203,-73.977182,40.780751
10211,-73.977182,40.780751
10212,-73.977182,40.780751
10213,-73.977182,40.780751
10242,-73.977182,40.780751
10249,-73.977182,40.780751
10256,-73.977182,40.780751
10258,-73.977182,40.780751
10259,-73.977182,40.780751
10260,-73.977182,40.780751
10261,-73.977182,40.780751
10265,-73.977182,40.780751
10268,-73.977182,40.780751
10269,-73.977182,40.780751
10272,-73.977182,40.780751
10273,-73.977182,40.780751
10274,-73.977182,40.780751
10275,-73.977182,40.780751
10276,-73.977182,40.780751
10277,-73.977182,40.780751
10285,-74.016306,40.71533
10286,-74.011895,40.714231
11202,-73.945032,40.645099
11241,-73.945032,40.645099
11242,-73.945032,40.645099
11243,-73.945032,40.645099
11245,-73.945032,40.645099
11247,-73.945032,40.645099
11249,-73.945032,40.645099
11251,-73.945032,40.645099
11120,-73.870779,40.651378
zip code,long,lat
10540,-73.724257,41.333398
10587,-73.742268,41.328737
10702,-73.732996,41.119008
